Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
swaptions,2,simmedium,1197940615,1.46,980160,7.105,13794598,4234414553,8071645090,1.91,1912.812374,68775,2476686778,7687376,953326,1.17668891,1.4571577
swaptions,4,simmedium,1207054059,1.45,812856,5.851,13892245,5942507365,8065605394,1.36,2636.518827,68498,2350918454,6595570,473382,1.024782658,1.673156052
swaptions,8,simmedium,1244382889,1.47,1169442,7.503,15585325,6193591938,8239660339,1.33,2760.383798,68866,2361603434,7229087,580465,1.071068764,1.600850817
swaptions,1,simlarge,4211440144,1.41,757609,5.006,15133047,13914496295,29263872770,2.1,5393.960671,68460,8788463697,10244103,806071,5.347098351,1
swaptions,2,simlarge,4260438928,1.33,1121782,6.255,17933245,14053888993,29174792771,2.08,6019.997417,68943,8767520269,8745026,754920,3.208161831,1.666717152
swaptions,4,simlarge,4334589476,1.32,1188924,5.65,21044377,22064258677,29833561347,1.35,9402.674962,69329,8792384531,10023699,553913,2.694900751,1.984154091
swaptions,8,simlarge,4477126458,1.33,1558606,6.581,23684789,22948319303,30507946993,1.33,9792.379135,69350,9080751685,9103926,666092,2.787002563,1.918583937
facesims,1,simsmall,165730271,2.94,972284,7.384,13168237,834320596,896294592,1.07,470.715526,61431,240779275,5930185,641432,0.463504791,1
facesims,2,simsmall,181992855,2.81,778213,5.945,13089694,775151934,859402476,1.11,448.853984,61189,246164713,5527516,510044,0.459233999,1.009299817
facesims,4,simsmall,181246577,2.79,896377,6.897,12996337,803291272,880027986,1.1,463.118582,61961,244261956,5512415,497186,0.426310539,1.087246851
facesims,8,simsmall,181745964,2.78,809935,6.161,13145573,791412742,856404354,1.08,457.61715,61442,241597953,5533066,492404,0.445212841,1.041085855
facesims,1,simmedium,179900207,2.76,851219,6.634,12831344,804092089,870035273,1.08,458.016564,61672,245301591,5688021,408427,0.452038288,1
facesims,2,simmedium,184227165,2.79,931198,7.055,13198504,786048507,864015130,1.1,458.433211,61967,238290563,5880084,662009,0.440430403,1.026355777
